,SSYK 2012 kod,Yrkesbenämning
2719,8189,Glastryckare
2720,7319,Glasverksarbetare
2721,8189,Glasyrberedare
2722,2284,Glasögonoptiker
2723,8189,Glasögonslipare
2724,8172,"Glättare, papper"
2725,8129,Glödgare
2726,8212,Glödlampsfabriksarbetare
2727,7223,Gnistare
2728,4430,God man
2729,2411,Godkänd revisor 
2730,4323,Godscentralföreståndare
2731,9332,Godsdragare
2732,4323,Godsexpeditör
2733,1380,"Godsförvaltare, lantbruk biodlare och silkesodlare"
2734,1380,"Godsförvaltare, lantbruk blandad drift"
2735,1380,"Godsförvaltare, lantbruk blandade växtslag"
2736,1380,"Godsförvaltare, lantbruk fjäderfäuppfödare"
2737,1380,"Godsförvaltare, lantbruk husdjursuppfödare"
2738,1380,"Godsförvaltare, lantbruk jordbruksväxter"
2739,1380,"Godsförvaltare, lantbruk träd och buskar"
2740,1380,"Godsförvaltare, lantbruk trädgårdsodlare"
2741,1380,"Godsförvaltare, lantbruk övriga djuruppfödare"
2742,1380,"Godsförvaltare, skogsbruk"
2743,9332,Godshanterare
2744,8343,Godshissförare
2745,4322,Godsmottagare
2746,7233,Godsvagnsmekaniker
2747,4323,"Godsvårdare, järnväg"
2748,6129,"Godsägare, lantbruk biodlare och silkesodlare"
2749,6130,"Godsägare, lantbruk blandad drift"
2750,6111,"Godsägare, lantbruk blandade växtslag"
2751,6121,"Godsägare, lantbruk fjäderfäuppfödare"
2752,6121,"Godsägare, lantbruk husdjursuppfödare"
2753,6111,"Godsägare, lantbruk jordbruksväxter"
2754,6111,"Godsägare, lantbruk träd och buskar"
2755,6112,"Godsägare, lantbruk trädgårdsodlare"
2756,6129,"Godsägare, lantbruk övriga djuruppfödare"
2757,1380,"Godsägare, skogsbruk"
2758,6113,Golfbanearbetare
2759,1741,"Golfbaneföreståndare, funktions- eller mellanchef"
2760,1742,"Golfbaneföreståndare, verksamhetsnära chef"
2761,3422,Golfinstruktör
2762,3422,"Golfinstruktör, friskvård"
2763,3421,Golfspelare
2764,3422,Golftränare
2765,3422,"Golftränare, friskvård"
2766,9111,Golvbonare
2767,7122,Golvlackerare
2768,7122,Golvläggare
2769,7122,Golvslipare
2770,7224,Gradare
2771,7531,Gradör
2772,2173,2D-Grafiker
2773,2651,"Grafiker, konstnär"
2774,7321,"Grafiker, prepress"
2775,7321,"Grafiker, sättare"
2776,7322,"Grafiker, tryckare"
2777,2172,Grafisk designer
2778,2172,Grafisk formgivare
2779,2172,Grafisk konsult
2780,7321,"Grafisk operatör, digital produktion"
2781,8114,Grafitarbetare
2782,3313,"Granskare, revision"
2783,2142,"Granskningsingenjör, bygg"
2784,2143,"Granskningsingenjör, elektronik"
2785,2143,"Granskningsingenjör, telekommunikation"
2786,3313,Granskningsman
2787,8131,Granulerare
2788,8116,Gravstenshuggare
2789,8116,Gravstensmontör
2790,7319,"Gravör, glas"
2791,7319,"Gravör, metall"
2792,8116,"Gravör, sten"
2793,7321,"Gravör, tryckmedier"
2794,7312,"Gravör, ädelmetall"
2795,6113,Greenkeeper
2796,6113,Griftegårdschef
2797,9411,Grillbiträde
2798,9411,"Grillkock, gatukök/snabbmatsrestaurang"
2799,5120,"Grillkock, hotell, restaurang, storhushåll"
2800,6121,Grisskötare
2801,6121,Grisuppfödare
2802,1731,"Grosshandlare, funktions- eller mellanchef"
2803,1732,"Grosshandlare, verksamhetsnära chef"
2804,1731,"Grossist, funktions- eller mellanchef"
2805,1732,"Grossist, verksamhetsnära chef"
2806,9310,"Grovarbetare, anläggning"
2807,9310,"Grovarbetare, bygg "
2808,9629,"Grovarbetare, diverse"
2809,7215,Grovplåtnitare
2810,7215,Grovplåtslagare
2811,7215,"Grovplåtslagare, industri"
2812,2341,Grundskollärare
2813,xxxx,Gruppchef (SSYK klassificeras som underställd personal)
2814,3351,"Gruppchef, Tullverket"
2815,3312,"Gruppföreståndare, bank"
2816,xxxx,Gruppledare (SSYK klassificeras som underställd personal)
2817,3341,"Gruppledare, kontorspersonal"
2818,8111,Grustagsarbetare
2819,8111,Gruvarbetare
2820,7111,Gruvbyggare
2821,1361,"Gruvchef, funktions- eller mellanchef"
2822,1362,"Gruvchef, verksamhetsnära chef"
2823,2114,Gruvgeolog
2824,2146,"Gruvingenjör, civilingenjör"
2825,3116,"Gruvingenjör, högskoleingenjör"
2826,3116,Gruvmätare
2827,8342,Gruvtruckförare
2828,5413,Gränskontrollant
2829,3360,Gränspolis
2830,3351,Gränstullassistent
2831,3351,Gränstullmästare
2832,2250,Gränsveterinär
2833,9210,Gräsklippare
2834,8342,"Grävlastarförare, anläggning"
2835,8342,Grävmaskinförare
2836,8341,"Grävmaskinförare, skogsbruk"
2837,8342,Grävmaskinist
2838,7231,Grävmaskinsreparatör
2839,6111,Grönsaksodlare
2840,5113,Guide
2841,7312,Guldgravör
2842,7312,Guldsmed
2843,3214,Guldtekniker
2844,7312,Guldvaruarbetare
2845,8141,Gummiblandare
2846,8141,Gummilösningskörare
2847,8141,Gummioperatör
2848,8141,Gummipressare
2849,8141,Gummivalsare
2850,8141,Gummivaruarbetare
2851,3439,Gycklare
2852,1411,"Gymnasiechef, funktions- eller mellanchef"
2853,2330,"Gymnasielärare, allmänna ämnen"
2854,2330,"Gymnasielärare, estetiska o. praktiska ämnen"
2855,2320,"Gymnasielärare, yrkesämnen"
2856,2330,Gymnastikdirektör
2857,3422,"Gymnastikinstruktör, motion"
2858,2351,Gymnastikkonsulent
2859,3422,"Gymnastikledare, motion"
2860,2330,"Gymnastiklärare, gymnasieskola"
2861,2341,"Gymnastiklärare, grundskola"
2862,3422,Gymnastiktränare
2863,2211,Gynekolog
2864,3423,"Gårdsföreståndare, fritidsgård"
2865,9622,Gårdskarl
2866,6130,"Gårdsmästare, blandad drift"
2867,6111,"Gårdsmästare, blandade växtslag"
2868,6111,"Gårdsmästare, växtodling"
2869,7223,Gängfräsare
2870,4323,Gästhamnsuppbördsman
2871,7224,Götslipare
2872,7224,Götsynare
2873,5322,"Habiliterare, undersköterska"
2874,5342,"Habiliterare, vårdbiträde"
2875,5322,"Habiliteringsassistent, undersköterska"
2876,5342,"Habiliteringsassistent, vårdbiträde"
2877,1741,"Hallföreståndare, funktions- eller mellanchef"
2878,1742,"Hallföreståndare, verksamhetsnära chef"
2879,7319,Halmvaruarbetare
2880,7221,Hammarsmed
2881,3331,Hamnagent
2882,8344,"Hamnarbetare, truckförare"
2883,9331,"Hamnarbetare, övrigt"
2884,4323,Hamnbetjänt
2885,1120,Hamnchef
2886,1120,Hamndirektör
2887,1322,"Hamnfogde, verksamhetsnära chef"
2888,1321,"Hamnfogde, funktions- eller mellanchef"
2889,4323,Hamnförman
2890,3112,Hamningenjör
